单词      复数    现在时            过去时
take	 ""	 "taking"	 "took"

exordium	 "exordiums"	 ""	 ""

fetishist	 "fetishists"	 ""	 ""

fest	 ""	 ""	 ""

checkmating	 ""	 ""	 ""

urinator	 ""	 ""	 ""

brightening	 ""	 ""	 ""

hound's-tongue	 ""	 ""	 ""

Bowne	 ""	 ""	 ""

gaped	 ""	 ""	 ""

eme	 ""	 ""	 ""

daybook	 ""	 ""	 ""

nummulitic	 ""	 ""	 ""

bombardier	 ""	 ""	 ""

hyperbolical	 ""	 ""	 ""

distressful	 ""	 ""	 ""

broad-billed	 ""	 ""	 ""

cranks	 ""	 ""	 ""

chucks	 ""	 ""	 ""

emu	 "emu"	 ""	 ""

entertains	 ""	 ""	 ""

dignifying	 ""	 ""	 ""

thrash	 ""	 "thrashing"	 "thrashed"

dispatchment	 ""	 ""	 ""

glossator	 ""	 ""	 ""

equivalents	 ""	 ""	 ""

cytula	 ""	 ""	 ""

poinciana	 ""	 ""	 ""

Durant	 ""	 ""	 ""

explanations	 ""	 ""	 ""

foveolate	 ""	 ""	 ""

cloth-covered	 ""	 ""	 ""

knocker	 "knockers"	 ""	 ""

Fortin	 ""	 ""	 ""

gaper	 ""	 ""	 ""

decurrent	 ""	 ""	 ""

circumscribable	 ""	 ""	 ""

gapes	 ""	 ""	 ""

plover	 "plovers"	 ""	 ""

cleavelandite	 ""	 ""	 ""

enfranchised	 ""	 ""	 ""

caryophyllus	 ""	 ""	 ""

cony	 "conies"	 ""	 ""

escapement	 ""	 ""	 ""

Dominican	 ""	 ""	 ""

chastisable	 ""	 ""	 ""

buttoning	 ""	 ""	 ""

deerstalker	 "deerstalkers"	 ""	 ""

guanin	 ""	 ""	 ""

follicle	 "follicles"	 ""	 ""

cosily	 ""	 ""	 ""

carriageable	 ""	 ""	 ""

coalescence	 ""	 ""	 ""

moping	 ""	 ""	 ""

centrolecithal	 ""	 ""	 ""

dominical	 ""	 ""	 ""

valeric	 ""	 ""	 ""

diclinous	 ""	 ""	 ""

bevelling	 ""	 ""	 ""

stint	 "stints"	 "stinting"	 "stinted"

electrostatic	 ""	 ""	 ""

vitrification	 ""	 ""	 ""

teredo	 "teredos"	 ""	 ""

extraordinarily	 ""	 ""	 ""

filoplumaceous	 ""	 ""	 ""

unscriptural	 ""	 ""	 ""

feaze	 ""	 ""	 ""

detaching	 ""	 ""	 ""

galipot	 ""	 ""	 ""

levigate	 ""	 "levigating"	 "levigated"

bunting	 ""	 ""	 ""

blockading	 ""	 ""	 ""

diffidence	 ""	 ""	 ""

gamekeeper	 "gamekeepers"	 ""	 ""

balneology	 ""	 ""	 ""

mender	 "menders"	 ""	 ""

garniture	 ""	 ""	 ""

discontentment	 ""	 ""	 ""

fattish	 ""	 ""	 ""

diluvial	 ""	 ""	 ""

double-bedded	 ""	 ""	 ""

deathward	 ""	 ""	 ""

oestrus	 ""	 ""	 ""

break-up	 "break-ups"	 ""	 ""

circularity	 ""	 ""	 ""

eosin	 ""	 ""	 ""

gumption	 ""	 ""	 ""

prejudgment	 ""	 ""	 ""

soldering	 ""	 ""	 ""

carpale	 ""	 ""	 ""

levers	 ""	 ""	 ""

incorrectly	 ""	 ""	 ""

differentials	 ""	 ""	 ""

transit	 "transits"	 "transiting"	 "transited"

stylus	 "styluses"	 ""	 ""

diluvian	 ""	 ""	 ""

basifier	 ""	 ""	 ""

flatteries	 ""	 ""	 ""

disbanding	 ""	 ""	 ""

silicic	 ""	 ""	 ""

schoolhouse	 "schoolhouses"	 ""	 ""

gospeler	 ""	 ""	 ""

impale	 ""	 "impaling"	 "impaled"

fumatory	 ""	 ""	 ""

emulsify	 ""	 "emulsifying"	 "emulsified"

guly	 ""	 ""	 ""

civetta	 ""	 ""	 ""

dishevel	 ""	 ""	 ""

chloroplatinic	 ""	 ""	 ""

gastrulae	 ""	 ""	 ""

stricture	 "strictures"	 ""	 ""

sacrist	 ""	 ""	 ""

galenic	 ""	 ""	 ""

textbook	 "textbooks"	 ""	 ""

coalpit	 ""	 ""	 ""

epipharyngeal	 ""	 ""	 ""

nuclear	 ""	 ""	 ""

fuse	 "fuses"	 "fusing"	 "fused"

cartman	 ""	 ""	 ""

universality	 "universalities"	 ""	 ""

extortionate	 ""	 ""	 ""

nip	 ""	 "niping"	 "nipped"

tibiotarsus	 ""	 ""	 ""

dreamt	 null	 null	 null

sleepiness	 ""	 ""	 ""

figural	 ""	 ""	 ""

didactic	 ""	 ""	 ""

discredits	 ""	 ""	 ""

giraffe	 "giraffes"	 ""	 ""

gambol	 ""	 "gambolling"	 "gambolled"

ragged	 ""	 ""	 ""

draftsman	 "draftsmen"	 ""	 ""

bream	 ""	 ""	 ""

Giraffa	 ""	 ""	 ""

stonecutting	 ""	 ""	 ""

dragbar	 ""	 ""	 ""

coursed	 ""	 ""	 ""

foists	 ""	 ""	 ""

emporium	 "emporiums"	 ""	 ""

cosmogonies	 ""	 ""	 ""

galaxy	 "galaxies"	 ""	 ""

courser	 ""	 ""	 ""

dogging	 ""	 ""	 ""

nestling	 ""	 ""	 ""

germanic	 ""	 ""	 ""

homogenesis	 ""	 ""	 ""

newton	 ""	 ""	 ""

headstrong	 ""	 ""	 ""

piping	 ""	 ""	 ""

eventful	 ""	 ""	 ""

descensional	 ""	 ""	 ""

patroness	 "patronesses"	 ""	 ""

edulcorate	 ""	 ""	 ""

Coursey	 ""	 ""	 ""

forehearth	 ""	 ""	 ""

gulosity	 ""	 ""	 ""

fasciculated	 ""	 ""	 ""

reactions	 ""	 ""	 ""

engines	 ""	 ""	 ""

funnelform	 ""	 ""	 ""

hypochondriacal	 ""	 ""	 ""

drub	 ""	 ""	 ""

steamship	 "steamships"	 ""	 ""

gauffer	 ""	 ""	 ""

cicadas	 ""	 ""	 ""

deuterocanonical	 ""	 ""	 ""

Patri	 ""	 ""	 ""

engined	 ""	 ""	 ""

giblets	 ""	 ""	 ""

fares	 ""	 ""	 ""

castration	 "castrations"	 ""	 ""

fifed	 ""	 ""	 ""

decrescent	 ""	 ""	 ""

Gozzard	 ""	 ""	 ""

four-wheeler	 ""	 ""	 ""

castles	 ""	 ""	 ""

gymnosophist	 ""	 ""	 ""

espying	 ""	 ""	 ""

distributively	 ""	 ""	 ""

fusion	 "fusions"	 ""	 ""

teats	 ""	 ""	 ""

cicadae	 ""	 ""	 ""

gladdened	 ""	 ""	 ""

fesse	 ""	 ""	 ""

distil	 ""	 "distilling"	 "distilled"

cantharides	 ""	 ""	 ""

orthorhombic	 ""	 ""	 ""

boatbill	 ""	 ""	 ""

research	 "researches"	 "researching"	 "researched"

conus	 ""	 ""	 ""

pustules	 ""	 ""	 ""

unfounded	 ""	 ""	 ""

dysuric	 ""	 ""	 ""

chromium	 ""	 ""	 ""

copesmate	 ""	 ""	 ""

embryoniform	 ""	 ""	 ""

cooler	 "coolers"	 ""	 ""

dissented	 ""	 ""	 ""

lectern	 "lecterns"	 ""	 ""

merle	 ""	 ""	 ""

freshens	 ""	 ""	 ""

distributional	 ""	 ""	 ""

Crossopterygii	 ""	 ""	 ""

circumfusion	 ""	 ""	 ""

objectless	 ""	 ""	 ""

francolite	 ""	 ""	 ""

biolysis	 ""	 ""	 ""

securities	 ""	 ""	 ""

marigold	 "marigolds"	 ""	 ""

noma	 "nomas"	 ""	 ""

beamed	 ""	 ""	 ""

fieldfare	 ""	 ""	 ""

queer	 "queers"	 ""	 ""

bel-esprit	 ""	 ""	 ""

trickish	 ""	 ""	 ""

benedict	 ""	 ""	 ""

dummies	 ""	 ""	 ""

Sakya	 ""	 ""	 ""

discourses	 ""	 ""	 ""

cradled	 null	 null	 null

glutinosity	 ""	 ""	 ""

orthopterous	 ""	 ""	 ""

galoche	 ""	 ""	 ""

disheritor	 ""	 ""	 ""

hydromedusa	 "hydromedusae"	 ""	 ""

bawling	 ""	 ""	 ""

fluoride	 ""	 ""	 ""

mutilate	 ""	 "mutilating"	 "mutilated"

boarfish	 ""	 ""	 ""

monocotyledonous	 ""	 ""	 ""

cobelligerent	 ""	 ""	 ""

set-to	 "set-tos"	 ""	 ""

burgomaster	 ""	 ""	 ""

grapple	 ""	 "grappling"	 "grappled"

unnecessary	 ""	 ""	 ""

stifle	 ""	 "stifling"	 "stifled"

guesswork	 ""	 ""	 ""

productions	 ""	 ""	 ""

corrigible	 ""	 ""	 ""

glycolyl	 ""	 ""	 ""

flatten	 ""	 "flattening"	 "flattened"

patchwork	 ""	 ""	 ""

diaphane	 ""	 ""	 ""

malignity	 "malignities"	 ""	 ""

cochineal	 ""	 ""	 ""

conchiform	 ""	 ""	 ""

plating	 ""	 ""	 ""

bioplastic	 ""	 ""	 ""

disleave	 ""	 ""	 ""

festivities	 ""	 ""	 ""

coaly	 ""	 ""	 ""

blindfold	 "blindfolds"	 "blindfolding"	 "blindfolded"

toper	 ""	 ""	 ""

balled	 ""	 ""	 ""

discretely	 ""	 ""	 ""

peel	 "peels"	 "peeling"	 "peeled"

bribed	 ""	 ""	 ""

idyl	 ""	 ""	 ""

guzzle	 ""	 "guzzling"	 "guzzled"

dislikeful	 ""	 ""	 ""

conjugate	 ""	 "conjugating"	 "conjugated"

griff	 ""	 ""	 ""

disanoint	 ""	 ""	 ""

plasmogen	 ""	 ""	 ""

sharps	 ""	 ""	 ""

diverged	 ""	 ""	 ""

Brahminism	 ""	 ""	 ""

genesial	 ""	 ""	 ""

deductible	 ""	 ""	 ""

veterans	 ""	 ""	 ""

garcinia	 ""	 ""	 ""

conscription	 ""	 ""	 ""

solidification	 ""	 ""	 ""

deferential	 ""	 ""	 ""

penman	 "penmen"	 ""	 ""

staghound	 ""	 ""	 ""

conformation	 ""	 ""	 ""

diverts	 ""	 ""	 ""

wapiti	 "wapitis"	 ""	 ""

graduates	 ""	 ""	 ""

garble	 ""	 "garbling"	 "garbled"

exuded	 ""	 ""	 ""

chartaceous	 ""	 ""	 ""

bifilar	 ""	 ""	 ""

gadding	 ""	 ""	 ""

elliptical	 ""	 ""	 ""

flaws	 ""	 ""	 ""

deviations	 ""	 ""	 ""

ethylic	 ""	 ""	 ""

delaying	 ""	 ""	 ""

conduciveness	 ""	 ""	 ""

insulating	 ""	 ""	 ""

retarding	 ""	 ""	 ""

elucidative	 ""	 ""	 ""

tympan	 ""	 ""	 ""

Sones	 ""	 ""	 ""

amusements	 ""	 ""	 ""

entombing	 ""	 ""	 ""

cymose	 ""	 ""	 ""

fatigued	 ""	 ""	 ""

Neotragus	 ""	 ""	 ""

Kelpfish	 ""	 ""	 ""

epistolary	 ""	 ""	 ""

pandect	 ""	 ""	 ""

flinching	 ""	 ""	 ""

careered	 null	 null	 null

bronchitis	 ""	 ""	 ""

betterment	 "betterments"	 ""	 ""

ellipsoidal	 ""	 ""	 ""

chafe	 ""	 "chafing"	 "chafed"

whereby	 ""	 ""	 ""

episodic	 ""	 ""	 ""

drearily	 ""	 ""	 ""

engrained	 ""	 ""	 ""

false-heart	 ""	 ""	 ""

elongated	 ""	 ""	 ""

diarrhetic	 ""	 ""	 ""

dines	 ""	 ""	 ""

barefacedness	 ""	 ""	 ""

epi	 ""	 ""	 ""

vastness	 "vastnesses"	 ""	 ""

romance	 "romances"	 "romancing"	 "romanced"

entwist	 ""	 "entwisting"	 "entwisted"

soudan	 ""	 ""	 ""

sportsmen	 ""	 ""	 ""

cope	 ""	 "coping"	 "coped"

collop	 ""	 ""	 ""

marsupials	 ""	 ""	 ""

stockade	 "stockades"	 ""	 ""

disinfected	 ""	 ""	 ""

bluffed	 ""	 ""	 ""

poof	 "poofs"	 ""	 ""

banker	 "bankers"	 ""	 ""

dinting	 ""	 ""	 ""

ensignship	 ""	 ""	 ""

combustibleness	 ""	 ""	 ""

bilged	 ""	 ""	 ""

four-way	 ""	 ""	 ""

deraign	 ""	 ""	 ""

dignify	 ""	 "dignifying"	 "dignified"

batsmen	 ""	 ""	 ""

catheterized	 ""	 ""	 ""

twelves	 ""	 ""	 ""

dilemma	 "dilemmas"	 ""	 ""

breakbone	 ""	 ""	 ""

bulldozes	 ""	 ""	 ""

bondar	 ""	 ""	 ""

goatfish	 "goatfishes"	 ""	 ""

caramel	 "caramels"	 ""	 ""

Raymond	 null	 null	 null

gothite	 ""	 ""	 ""

eyebright	 ""	 ""	 ""

BOCE	 ""	 ""	 ""

straightening	 ""	 ""	 ""

flinger	 ""	 ""	 ""

enterolith	 ""	 ""	 ""

batrachian	 ""	 ""	 ""

vacuously	 ""	 ""	 ""

discommode	 ""	 ""	 ""

interweave	 ""	 "interweaving"	 "interwove"

germane	 ""	 ""	 ""

expeller	 ""	 ""	 ""

hangman	 "hangmen"	 ""	 ""

delft	 ""	 ""	 ""

oxidize	 ""	 "oxidizing"	 "oxidized"

byssine	 ""	 ""	 ""

formidable	 ""	 ""	 ""

condyle	 ""	 ""	 ""

gelada	 ""	 ""	 ""

danburite	 ""	 ""	 ""

bagging	 ""	 ""	 ""

caecilian	 ""	 ""	 ""

condoned	 ""	 ""	 ""

overalls	 ""	 ""	 ""

endothorax	 ""	 ""	 ""

lenity	 "lenities"	 ""	 ""

embolismic	 ""	 ""	 ""

curvity	 ""	 ""	 ""

participant	 "participants"	 ""	 ""

philippic	 ""	 ""	 ""

causative	 ""	 ""	 ""

barge	 "barges"	 "barging"	 "barged"

gap-toothed	 ""	 ""	 ""

compendiousness	 ""	 ""	 ""

diaphemetric	 ""	 ""	 ""

exheredation	 ""	 ""	 ""

dispraisingly	 ""	 ""	 ""

epichorial	 ""	 ""	 ""

incising	 ""	 ""	 ""

mitten	 "mittens"	 ""	 ""

depurate	 ""	 ""	 ""

fizz	 ""	 "fizzing"	 "fizzed"

trifoliate	 ""	 ""	 ""

cleanliness	 ""	 ""	 ""

Canadensis	 ""	 ""	 ""

crinoline	 "crinolines"	 ""	 ""

chandelier	 "chandeliers"	 ""	 ""

bucolic	 ""	 ""	 ""

bilaminar	 ""	 ""	 ""

grizzly	 "grizzlies"	 null	 null

Maine	 null	 null	 null

fibrils	 ""	 ""	 ""

groyne	 ""	 ""	 ""

endothecium	 "endothecia"	 ""	 ""

eyelike	 ""	 ""	 ""

forgetful	 ""	 ""	 ""

battens	 ""	 ""	 ""

embroiled	 ""	 ""	 ""

diphtheric	 ""	 ""	 ""

counselling	 ""	 ""	 ""

bayberry	 "bayberries"	 ""	 ""

exculpatory	 ""	 ""	 ""

devilry	 ""	 ""	 ""

submetallic	 ""	 ""	 ""

endoparasite	 ""	 ""	 ""

efflorescing	 ""	 ""	 ""

forespeak	 ""	 "forespeaking"	 "forespoke"

junk	 "junks"	 "junking"	 "junked"

Cretan	 ""	 ""	 ""

semi-liquid	 ""	 ""	 ""

fistulous	 ""	 ""	 ""

cirrhus	 ""	 ""	 ""

bo	 ""	 ""	 ""

eyereach	 ""	 ""	 ""

lobate	 ""	 ""	 ""

bacchanal	 ""	 ""	 ""

coped	 ""	 ""	 ""

unctuousness	 ""	 ""	 ""

breeching	 ""	 ""	 ""

spiritlessness	 ""	 ""	 ""

foreknown	 null	 null	 null

enunciation	 ""	 ""	 ""

effeminate	 ""	 ""	 ""

di	 null	 null	 null

maximus	 ""	 ""	 ""

df	 ""	 ""	 ""

invincibly	 ""	 ""	 ""

trinkets	 ""	 ""	 ""

dissatisfying	 ""	 ""	 ""

interdicting	 ""	 ""	 ""

concupiscent	 ""	 ""	 ""

gored	 ""	 ""	 ""

firebrick	 ""	 ""	 ""

shelve	 ""	 "shelving"	 "shelved"

cuisine	 "cuisines"	 ""	 ""

gobies	 ""	 ""	 ""

digression	 "digressions"	 ""	 ""

torpid	 ""	 ""	 ""

duncery	 ""	 ""	 ""

scandalous	 ""	 ""	 ""

brillante	 ""	 ""	 ""

dr	 ""	 ""	 ""

muscular	 ""	 ""	 ""

glutin	 ""	 ""	 ""

cortical	 ""	 ""	 ""

fibbing	 ""	 ""	 ""

fustet	 ""	 ""	 ""

elucidate	 ""	 "elucidating"	 "elucidated"

colloid	 ""	 ""	 ""

incursion	 "incursions"	 ""	 ""

controlment	 ""	 ""	 ""

derivate	 ""	 ""	 ""

nectarine	 ""	 ""	 ""

mole	 "moles"	 ""	 ""

clasper	 ""	 ""	 ""

Englishmen	 ""	 ""	 ""

choanoid	 ""	 ""	 ""

binomial	 ""	 ""	 ""

hafiz	 ""	 ""	 ""

repelling	 ""	 ""	 ""

clipped	 ""	 ""	 ""

gaur	 ""	 ""	 ""

chorology	 ""	 ""	 ""

irresponsible	 "irresponsibles"	 ""	 ""

grahamite	 ""	 ""	 ""

cheddar	 "cheddars"	 ""	 ""

bedaubing	 ""	 ""	 ""

crackled	 ""	 ""	 ""

depopulating	 ""	 ""	 ""

rung	 "rungs"	 ""	 ""

entomophilous	 ""	 ""	 ""

menses	 ""	 ""	 ""

crinkling	 ""	 ""	 ""

gaud	 ""	 ""	 ""

comprehensibly	 ""	 ""	 ""

sorrowfully	 null	 null	 null

Christendom	 ""	 ""	 ""

ghoul	 "ghouls"	 ""	 ""

supercilious	 ""	 ""	 ""

electro-chemistry	 ""	 ""	 ""

ceilings	 ""	 ""	 ""

cuffy	 ""	 ""	 ""

fornix	 "fornices"	 ""	 ""

radish	 "radishes"	 ""	 ""

truncate	 ""	 "truncating"	 "truncated"

gazehound	 ""	 ""	 ""

canto	 "canto"	 ""	 ""

fossilizing	 ""	 ""	 ""

comprehensible	 ""	 ""	 ""

gentles	 null	 null	 null

hinging	 null	 null	 null

chylify	 ""	 ""	 ""

endosporous	 ""	 ""	 ""

garrulity	 ""	 ""	 ""

decidable	 ""	 ""	 ""

cordon	 "cordons"	 "cordoning"	 "cordoned"

outgo	 null	 "outgoing"	 "outwent"

jocose	 ""	 ""	 ""

dess	 ""	 ""	 ""

phrenetic	 ""	 ""	 ""

enamels	 ""	 ""	 ""

confraternity	 "confraternities"	 ""	 ""

coulomb	 ""	 ""	 ""

slugs	 ""	 ""	 ""

tetanus	 ""	 ""	 ""

purblind	 ""	 ""	 ""

faze	 ""	 "fazing"	 "fazed"

geodephagous	 ""	 ""	 ""

leasehold	 "leaseholds"	 ""	 ""

rosewood	 ""	 ""	 ""

infidel	 "infidels"	 ""	 ""

debatable	 ""	 ""	 ""

gastralgia	 ""	 ""	 ""

bended	 ""	 ""	 ""

balancer	 "balancers"	 ""	 ""

chancre	 ""	 ""	 ""

geologizing	 ""	 ""	 ""

bellipotent	 ""	 ""	 ""

gemming	 null	 null	 null

mistrustful	 ""	 ""	 ""

enrolls	 ""	 ""	 ""

crescendo	 "crescendos"	 ""	 ""

wicker	 "wickers"	 ""	 ""

Greenland	 null	 null	 null

embarassment	 ""	 ""	 ""

ratlike	 ""	 ""	 ""

predicable	 ""	 ""	 ""

concords	 ""	 ""	 ""

wicket	 "wickets"	 ""	 ""

cankered	 ""	 ""	 ""

cupper	 ""	 ""	 ""

barbellate	 ""	 ""	 ""

scenic	 ""	 ""	 ""

bemiring	 ""	 ""	 ""

truncated	 ""	 ""	 ""

novelty	 "novelties"	 null	 null

bender	 "benders"	 ""	 ""

kitchen	 "kitchens"	 ""	 ""

cupped	 ""	 ""	 ""

collateral	 "collaterals"	 ""	 ""

corncrake	 ""	 ""	 ""

felspar	 ""	 ""	 ""

catmint	 ""	 ""	 ""

facings	 ""	 ""	 ""

coronoid	 ""	 ""	 ""

concealer	 ""	 ""	 ""

chrysanthemums	 ""	 ""	 ""

deliquium	 ""	 ""	 ""

be-all	 ""	 ""	 ""

fraenulum	 ""	 ""	 ""

distasting	 null	 null	 null

braiding	 ""	 ""	 ""

fabricated	 ""	 ""	 ""

granitoid	 ""	 ""	 ""

silverware	 ""	 ""	 ""

gasped	 ""	 ""	 ""

drainable	 ""	 ""	 ""

caseation	 ""	 ""	 ""

vitality	 ""	 ""	 ""

germinated	 ""	 ""	 ""

foiled	 ""	 ""	 ""

imparadise	 ""	 "imparadising"	 "imparadised"

pulleys	 ""	 ""	 ""

mysterious	 ""	 ""	 ""

fabricates	 ""	 ""	 ""

gable	 "gables"	 ""	 ""

faitour	 ""	 ""	 ""

emulates	 ""	 ""	 ""

factories	 ""	 ""	 ""

sparerib	 ""	 ""	 ""

emulous	 ""	 ""	 ""

scratches	 ""	 ""	 ""

dragonet	 ""	 ""	 ""

exorcised	 ""	 ""	 ""

cranked	 ""	 ""	 ""

mallet	 "mallets"	 ""	 ""

celestinian	 ""	 ""	 ""

Sieben	 ""	 ""	 ""

guid	 ""	 ""	 ""

contested	 ""	 ""	 ""

guib	 ""	 ""	 ""

electrolyzing	 ""	 ""	 ""

diaries	 ""	 ""	 ""

muscadine	 ""	 ""	 ""

dowry	 "dowries"	 ""	 ""

derogate	 ""	 ""	 ""

fenestra	 "fenestrae"	 ""	 ""

chagreen	 ""	 ""	 ""

flopping	 ""	 ""	 ""

wrinkled	 ""	 ""	 ""

canning	 ""	 ""	 ""

dago	 ""	 ""	 ""

tusk	 "tusks"	 ""	 ""

cotyledonous	 ""	 ""	 ""

dividual	 ""	 ""	 ""

gliadin	 ""	 ""	 ""

explode	 ""	 "exploding"	 "exploded"

clustering	 ""	 ""	 ""

drongo	 ""	 ""	 ""

disfeature	 ""	 ""	 ""

lexicographer	 "lexicographers"	 ""	 ""

Osage	 null	 null	 null

Foucault	 ""	 ""	 ""

deductions	 ""	 ""	 ""

carping	 ""	 ""	 ""

galvanotropism	 ""	 ""	 ""

bungalow	 "bungalows"	 ""	 ""

positivist	 "positivists"	 ""	 ""

fireless	 ""	 ""	 ""

demarcate	 ""	 "demarcating"	 "demarcated"

molt	 ""	 "molting"	 "molted"

Rudge	 ""	 ""	 ""

two-wheeled	 ""	 ""	 ""

counterbore	 ""	 ""	 ""

gnu	 "gnus"	 ""	 ""

falconet	 ""	 ""	 ""

chad	 ""	 ""	 ""

foaling	 ""	 ""	 ""

postscript	 "postscripts"	 ""	 ""

CHAK	 ""	 ""	 ""

bibliographical	 ""	 ""	 ""

huger	 ""	 ""	 ""

guessed	 ""	 ""	 ""

federalized	 ""	 ""	 ""

baker-legged	 ""	 ""	 ""

manta	 "mantas"	 ""	 ""

subsist	 ""	 "subsisting"	 "subsisted"

cham	 ""	 ""	 ""

disbench	 ""	 ""	 ""

char	 ""	 "charring"	 "charred"

non-metallic	 ""	 ""	 ""

voluptuous	 ""	 ""	 ""

beshrew	 ""	 "beshrewing"	 "beshrewed"

fortnightly	 "fortnightlies"	 ""	 ""

epidemiography	 ""	 ""	 ""

chap	 "chaps"	 "chapping"	 "chapped"

flammable	 ""	 ""	 ""

demibastion	 ""	 ""	 ""

valuing	 ""	 ""	 ""

chaw	 ""	 "chawing"	 "chawed"

desight	 ""	 ""	 ""

chay	 ""	 ""	 ""

decoloration	 ""	 ""	 ""

hogshead	 ""	 ""	 ""

plumose	 ""	 ""	 ""

Glutamic	 ""	 ""	 ""

evasive	 ""	 ""	 ""

unsaturated	 ""	 ""	 ""

residences	 ""	 ""	 ""

copulate	 ""	 "copulating"	 "copulated"

skipping	 ""	 ""	 ""

boilers	 ""	 ""	 ""

interjection	 "interjections"	 ""	 ""

extravasation	 ""	 ""	 ""

primitively	 ""	 ""	 ""

Estridae	 ""	 ""	 ""

exemplarily	 ""	 ""	 ""

drumming	 ""	 ""	 ""

bailable	 ""	 ""	 ""

fordable	 ""	 ""	 ""

uncemented	 ""	 ""	 ""

etymologist	 ""	 ""	 ""

phyllosoma	 ""	 ""	 ""

perceives	 ""	 ""	 ""

disconformity	 ""	 ""	 ""

grandiose	 ""	 ""	 ""

beton	 ""	 ""	 ""

trabecular	 ""	 ""	 ""

sidewalk	 "sidewalks"	 ""	 ""

disinfects	 ""	 ""	 ""

margaric	 ""	 ""	 ""

nakedly	 ""	 ""	 ""

depredations	 ""	 ""	 ""

induration	 ""	 ""	 ""

batrachoid	 ""	 ""	 ""

expeditionary	 ""	 ""	 ""

templet	 ""	 ""	 ""

juniper	 "junipers"	 ""	 ""

thrombosis	 "thromboses"	 ""	 ""

high-priced	 ""	 ""	 ""

crease	 ""	 "creasing"	 "creased"

ebon	 ""	 ""	 ""

skirmish	 "skirmishes"	 "skirmishing"	 "skirmished"

exsufflate	 ""	 ""	 ""

cocklebur	 ""	 ""	 ""

garran	 ""	 ""	 ""

erased	 ""	 ""	 ""

debutante	 "debutantes"	 ""	 ""

catalectic	 ""	 ""	 ""

toggle	 "toggles"	 "toggling"	 "toggled"

tomcod	 "tomcods"	 ""	 ""

disaffected	 ""	 ""	 ""

encephaloid	 ""	 ""	 ""

exudes	 ""	 ""	 ""

forging	 ""	 ""	 ""

gunboat	 "gunboats"	 ""	 ""

consul	 "consuls"	 ""	 ""

capapie	 ""	 ""	 ""

beauxite	 ""	 ""	 ""

eightscore	 ""	 ""	 ""

entogastric	 ""	 ""	 ""

foothill	 "foothills"	 ""	 ""

guenon	 ""	 ""	 ""

exuberancy	 ""	 ""	 ""

foul-spoken	 ""	 ""	 ""

bedrizzle	 ""	 ""	 ""

executant	 ""	 ""	 ""

gangliform	 ""	 ""	 ""

stapes	 "stapedes"	 ""	 ""

bucking	 ""	 ""	 ""

gerundial	 ""	 ""	 ""

daubreelite	 ""	 ""	 ""

brassart	 ""	 ""	 ""

Faroese	 ""	 ""	 ""

goggled	 ""	 ""	 ""

whooping	 ""	 ""	 ""

slightingly	 ""	 ""	 ""

croon	 ""	 "crooning"	 "crooned"

boreal	 ""	 ""	 ""

boutonniere	 ""	 ""	 ""

gelatification	 ""	 ""	 ""

beheading	 ""	 ""	 ""

sweats	 ""	 ""	 ""

doubter	 "doubters"	 ""	 ""

hostage	 "hostages"	 ""	 ""

extols	 ""	 ""	 ""

diluvium	 ""	 ""	 ""

balneography	 ""	 ""	 ""

Hellen	 null	 null	 null

Languedoc	 null	 null	 null

protoplasmic	 ""	 ""	 ""

deficience	 ""	 ""	 ""

encephalon	 "encephala"	 ""	 ""

instigates	 ""	 ""	 ""

charade	 "charades"	 ""	 ""

Excalibur	 ""	 ""	 ""

muslin	 "muslins"	 ""	 ""

thump	 "thumps"	 "thumping"	 "thumped"

webs	 ""	 ""	 ""

genet	 ""	 ""	 ""

upturned	 ""	 ""	 ""

emergencies	 ""	 ""	 ""

fleer	 ""	 "fleering"	 "fleered"

GODE	 ""	 ""	 ""

jester	 "jesters"	 ""	 ""

entries	 ""	 ""	 ""

driftway	 ""	 ""	 ""

